timestamp,city,station_icao,date,bucket,side,forecast_prob,market_prob,edge,size_usd,ev_per_bet,spread_colour,det_spread,kelly_fraction_used,rounding_confidence,model_values_json,days_ahead,hours_to_resolution,temporal_discount,action_taken
2026-03-02T20:05:26.840997+00:00,Chicago,KORD,2026-03-03,46+,BUY_YES,0.55,0.08,0.47000000000000003,5.0,29.375,RED,5.8,0.25,LOW,"{""ncep_nbm_conus"":43.7,""ncep_aigfs025"":41.7,""gem_seamless"":40.5,""best_match"":42.1,""icon_seamless"":46.3}",1,15.9,1.0,trade
2026-03-02T20:05:26.843413+00:00,Dallas,KDFW,2026-03-04,74+,BUY_NO,0.4576,0.929,0.4514,5.0,33.197,RED,8.1,0.25,LOW,"{""ncep_nbm_conus"":78.7,""gfs_seamless"":72.7,""ecmwf_ifs025"":80.6,""icon_seamless"":80.8}",2,39.9,0.88,trade
2026-03-02T20:05:26.844888+00:00,Atlanta,KATL,2026-03-03,62+,BUY_NO,0.52,0.991,0.45099999999999996,5.0,261.667,RED,4.1,0.25,MEDIUM,"{""ncep_nbm_conus"":66.5,""gfs_seamless"":62.7,""ecmwf_ifs025"":66.8,""icon_seamless"":65.9}",1,15.9,1.0,trade
2026-03-02T20:05:26.847038+00:00,Atlanta,KATL,2026-03-04,72+,BUY_NO,0.5104,0.98,0.4496,5.0,117.4,GREEN,3.0,0.25,HIGH,"{""ncep_nbm_conus"":77.2,""gfs_seamless"":76.5,""ecmwf_ifs025"":76.6,""icon_seamless"":74.2}",2,39.9,0.88,trade
2026-03-02T20:05:26.848104+00:00,Ankara,LTAC,2026-03-04,10+,BUY_YES,0.616,0.185,0.431,5.0,11.649,GREEN,1.5,0.35,MEDIUM,"{""icon_global"":7.5,""meteofrance_arpege_world"":8.0,""jma_seamless"":6.5,""icon_seamless"":7.5,""ecmwf_ifs025"":7.6,""gfs_graphcast025"":7.3}",2,39.9,0.88,trade
2026-03-02T20:05:26.849144+00:00,Seattle,KSEA,2026-03-04,50-51,BUY_YES,0.5456,0.185,0.3606,5.0,9.746,GREEN,1.8,0.25,HIGH,"{""icon_seamless"":52.1,""gem_seamless"":50.3,""ncep_nbm_conus"":51.5}",2,39.9,0.88,trade
2026-03-02T20:05:26.850166+00:00,Chicago,KORD,2026-03-04,44-45,BUY_YES,0.48400000000000004,0.215,0.269,5.0,6.256,RED,8.8,0.25,LOW,"{""ncep_nbm_conus"":46.4,""ncep_aigfs025"":45.4,""gem_seamless"":49.1,""best_match"":40.3,""icon_seamless"":40.5}",2,39.9,0.88,trade
2026-03-02T20:05:26.851212+00:00,Seoul,RKSI,2026-03-04,10+,BUY_YES,0.48400000000000004,0.21500000000000002,0.269,5.0,6.256,RED,2.9,0.35,LOW,"{""ncep_aigfs025"":9.5,""gfs_graphcast025"":8.0,""ecmwf_ifs025"":6.7,""kma_gdps"":6.6,""kma_seamless"":6.9}",2,39.9,0.88,trade
2026-03-02T20:05:26.852307+00:00,Chicago,KORD,2026-03-03,42-43,BUY_NO,0.13007357746252615,0.395,0.2649264225374739,5.0,2.189,RED,5.8,0.25,LOW,"{""ncep_nbm_conus"":43.7,""ncep_aigfs025"":41.7,""gem_seamless"":40.5,""best_match"":42.1,""icon_seamless"":46.3}",1,15.9,1.0,trade
2026-03-02T20:05:26.853597+00:00,Seattle,KSEA,2026-03-04,54-55,BUY_NO,0.054968358069661376,0.30000000000000004,0.24503164193033866,5.0,1.75,GREEN,1.8,0.25,HIGH,"{""icon_seamless"":52.1,""gem_seamless"":50.3,""ncep_nbm_conus"":51.5}",2,39.9,0.88,trade
